cell_id,dataset,celltype,leiden,leiden_named,n_proteins_identified,intensity_max,intensity_min_detected,intensity_median,dynamic_range_log10
[388] DCT_1cell_WISHDIA_P2_0013.htrms.PG.Quantity,dct758,DCT2,26,DCT1,903,29245.509765625,35.41017532348633,156.79440307617188,2.916931118711569
[176] DCT_1cell_WISHDIA_P1_0180.htrms.PG.Quantity,dct758,ProLIF,8,ProLIF,851,32121.36328125,46.42927932739258,187.08677673339844,2.8400020265151573
[546] DCT_1cell_WISHDIA_P2_0171.htrms.PG.Quantity,dct758,DCT1,29,ProLIF,869,26347.685546875,37.2638053894043,150.86520385742188,2.849455268513678
[64] DCT_1cell_WISHDIA_P1_0068.htrms.PG.Quantity,dct758,ProLIF,8,ProLIF,915,30327.060546875,40.3835334777832,179.2317352294922,2.8756260021560376
[551] DCT_1cell_WISHDIA_P2_0176.htrms.PG.Quantity,dct758,DCT1,22,ProLIF,686,31840.318359375,43.258541107177734,196.15984344482422,2.8669055326511534
[162] DCT_1cell_WISHDIA_P1_0166.htrms.PG.Quantity,dct758,DCT1,7,DCT2,903,45319.20703125,37.63624572753906,175.5355224609375,3.0806760068451506
[543] DCT_1cell_WISHDIA_P2_0168.htrms.PG.Quantity,dct758,DCT1,28,ProLIF,963,20256.0625,35.53300857543945,144.98773193359375,2.755923047647031
[445] DCT_1cell_WISHDIA_P2_0070.htrms.PG.Quantity,dct758,DCT2,17,DCT1,727,23431.123046875,42.40222930908203,192.69497680664062,2.742404414356318
[574] DCT_1cell_WISHDIA_P2_0199.htrms.PG.Quantity,dct758,DCT2,19,DCT1,527,21020.0234375,52.0853271484375,223.1783447265625,2.605917799620558
[300] DCT_1cell_WISHDIA_P1_0304.htrms.PG.Quantity,dct758,DCT2,19,DCT1,428,25451.431640625,69.94520568847656,277.325927734375,2.5609542647378176
[617] DCT_1cell_WISHDIA_P2_0242.htrms.PG.Quantity,dct758,DCT1,23,DCT2,1254,27564.123046875,24.882381439208984,107.52656555175781,3.0444522365487363
[542] DCT_1cell_WISHDIA_P2_0167.htrms.PG.Quantity,dct758,DCT1,29,ProLIF,793,17323.23828125,41.33565902709961,167.55474853515625,2.62230421303986
[340] DCT_1cell_WISHDIA_P1_0344.htrms.PG.Quantity,dct758,DCT2,21,ProLIF,822,25173.994140625,46.756473541259766,196.90447998046875,2.7311103783357358
[509] DCT_1cell_WISHDIA_P2_0134.htrms.PG.Quantity,dct758,DCT1,26,DCT1,867,31463.7890625,37.678775787353516,165.86923217773438,2.9217142380569285
[505] DCT_1cell_WISHDIA_P2_0130.htrms.PG.Quantity,dct758,DCT2,15,DCT1,334,43041.8671875,57.14236831665039,292.3825988769531,2.876932866933807
[712] DCT_1cell_WISHDIA_P2_0337.htrms.PG.Quantity,dct758,DCT2,30,DCT1,754,23478.09765625,52.27698516845703,199.26490020751953,2.6523523709994143
[37] DCT_1cell_WISHDIA_P1_0040.htrms.PG.Quantity,dct758,ProLIF,1,DCT2,559,40179.5625,62.045013427734375,268.54132080078125,2.811298320682214
[39] DCT_1cell_WISHDIA_P1_0042.htrms.PG.Quantity,dct758,DCT1,3,DCT1,363,58275.28515625,75.15472412109375,273.6429443359375,2.889528122388474
[627] DCT_1cell_WISHDIA_P2_0252.htrms.PG.Quantity,dct758,DCT2,17,DCT1,599,36021.09375,54.6380500793457,233.91720581054688,2.8190617038027237
[408] DCT_1cell_WISHDIA_P2_0033.htrms.PG.Quantity,dct758,DCT1,27,DCT1,792,27757.0625,42.93599319458008,164.47791290283203,2.810551989855176
[51] DCT_1cell_WISHDIA_P1_0054.htrms.PG.Quantity,dct758,DCT2,1,DCT2,533,29827.533203125,61.12796401977539,257.67291259765625,2.6883774067742836
[734] DCT_1cell_WISHDIA_P2_0359.htrms.PG.Quantity,dct758,DCT2,28,ProLIF,904,20708.8359375,41.22063446044922,166.17755889892578,2.701041015416087
[639] DCT_1cell_WISHDIA_P2_0264.htrms.PG.Quantity,dct758,ProLIF,28,ProLIF,998,28233.48046875,34.271026611328125,158.6007308959961,2.9158373046869217
